"Address A,Address B,Packets,Bytes,Stream ID,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A"
"0.0.0.0,""255.255.255.255"",8,2592,23,8,2592,0,0,2.982293,13.748917,1508,0"
"172.16.8.79,""172.16.15.37"",8,528,40,8,528,0,0,7.032856,7.030683000000001,600,0"
"172.16.8.97,""172.16.15.3"",4,264,19,4,264,0,0,2.172413,7.014457,301,0"
"172.16.9.32,""172.16.15.9"",3,198,53,3,198,0,0,11.577988,3.0059250000000013,526,0"
"172.16.9.42,""172.16.15.11"",3,198,52,3,198,0,0,11.518704,3.0148849999999996,525,0"
"172.16.9.154,""172.16.15.40"",5,330,15,5,330,0,0,1.697595,15.044450999999999,175,0"
"172.16.9.181,""172.16.15.139"",1,66,7,1,66,0,0,1.090715,0,"""","""""
"172.16.12.208,""172.16.15.9"",5,330,14,5,330,0,0,1.608202,15.023461,175,0"
"172.16.15.13,""172.16.15.11"",3,198,51,3,198,0,0,11.050245,3.0137079999999994,525,0"
"172.16.15.25,""172.16.15.255"",1,243,62,1,243,0,0,14.405644,0,"""","""""
"172.16.15.117,""172.16.15.255"",1,243,61,1,243,0,0,13.901728,0,"""","""""
"172.16.15.122,""20.42.65.85"",5,512,66,3,386,2,126,16.573844,0.0017770000000005837,"""","""""
"172.16.15.122,""20.242.39.171"",48,34607,55,16,27710,32,6897,12.067924,2.8549179999999996,77648,19326"
"172.16.15.122,""104.208.16.89"",47,28451,58,18,14848,29,13603,12.570937,3.4135719999999985,34797,31879"
"172.16.15.122,""172.16.1.11"",6,1262,54,3,272,3,990,12.065228,4.507489999999999,482,1757"
"172.16.15.122,""172.16.25.130"",10,742,56,6,427,4,315,12.200414,0.005912999999999613,577710,426179"
"172.16.15.122,""224.0.0.22"",1,54,34,1,54,0,0,5.31865,0,"""","""""
"172.16.15.147,""224.0.0.252"",2,140,33,2,140,0,0,5.316944,0.3746109999999998,2989,0"
"172.16.24.31,""172.16.15.9"",3,198,10,3,198,0,0,1.459642,12.012431,131,0"
"172.16.24.55,""172.16.15.9"",4,264,37,4,264,0,0,6.406145,7.022015,300,0"
"172.16.25.19,""172.16.15.3"",7,462,42,7,462,0,0,7.530376,7.026159999999999,526,0"
"172.16.25.55,""172.16.15.3"",1,66,16,1,66,0,0,1.9164210000000002,0,"""","""""
"172.16.25.108,""172.16.15.3"",4,264,2,4,264,0,0,0.07011,14.042597,150,0"
"172.16.25.148,""172.16.15.3"",1,66,38,1,66,0,0,6.408765,0,"""","""""
"172.16.25.209,""172.16.15.3"",1,66,43,1,66,0,0,7.635607,0,"""","""""
