"Protocol,""Percent Packets"",""Packets"",""Percent Bytes"",""Bytes"",""Bits/s"",""End Packets"",""End Bytes"",""End Bits/s"",""PDUs"""
"Frame,100,346,100,83659,39610.33851987392,0,0,0,346"
"Ethernet,100,346,7.174362590994394,6002,2841.7893089360773,0,0,0,346"
"Logical-Link Control,2.601156069364162,9,0.03825051697964355,32,15.151159261238666,0,0,0,9"
"Spanning Tree Protocol,2.3121387283236996,8,0.34425465281679196,288,136.36043335114798,8,288,136.36043335114798,8"
"Cisco Discovery Protocol,0.28901734104046245,1,0.5450698669599207,456,215.904019472651,1,456,215.904019472651,1"
"Link Layer Discovery Protocol,0.28901734104046245,1,0.5653904541053563,473,223.95307283018403,1,473,223.95307283018403,1"
"Internet Protocol Version 4,83.52601156069365,289,6.923343573315483,5792,2742.3598262841983,0,0,0,289"
"User Datagram Protocol,5.202312138728324,18,0.17212732640839598,144,68.18021667557399,0,0,0,18"
"NetBIOS Datagram Service,0.5780346820809249,2,0.1960338995206732,164,77.64969121384816,0,0,0,2"
"SMB (Server Message Block Protocol),0.5780346820809249,2,0.2844882200360989,238,112.68674700546258,0,0,0,2"
"SMB MailSlot Protocol,0.5780346820809249,2,0.05976643278069305,50,23.673686345685415,0,0,0,2"
"Microsoft Windows Browser Protocol,0.5780346820809249,2,0.07889169127051483,66,31.24926597630475,2,66,31.24926597630475,2"
"Link-local Multicast Name Resolution,0.5780346820809249,2,0.06693840471437622,56,26.514528707167663,2,56,26.514528707167663,2"
"Dynamic Host Configuration Protocol,2.3121387283236996,8,2.6966614470648707,2256,1068.156727917326,8,2256,1068.156727917326,8"
"Domain Name System,1.7341040462427746,6,1.2072819421699996,1010,478.2084641828454,6,1010,478.2084641828454,6"
"Transmission Control Protocol,77.45664739884393,268,8.816744163807838,7376,3492.342209715512,236,6736,3189.319024490739,268"
"Transport Layer Security,8.38150289017341,29,72.14047502360773,60352,28575.086366696123,29,60352,28575.086366696123,29"
"Microsoft Delivery Optimization,0.8670520231213873,3,0.19842455683190094,166,78.59663866767558,3,166,78.59663866767558,3"
"Internet Group Management Protocol,0.8670520231213873,3,0.03825051697964355,32,15.151159261238666,3,32,15.151159261238666,3"
"Configuration Test Protocol (loopback),0.28901734104046245,1,0.05498511815823761,46,21.779791438030582,0,0,0,1"
"Data,0.28901734104046245,1,0.04781314622455444,40,18.938949076548333,1,40,18.938949076548333,1"
"Address Resolution Protocol,13.294797687861271,46,1.539583308430653,1288,609.8341602648562,46,1288,609.8341602648562,46"
