"Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A,Flows"
"172.16.8.79,54115,""172.16.15.37"",7680,4,264,36,4,264,0,0,7.032856,7.030683000000001,300,0,0"
"172.16.8.79,54116,""172.16.15.37"",7680,4,264,37,4,264,0,0,7.032856,7.030683000000001,300,0,0"
"172.16.8.97,59222,""172.16.15.3"",7680,4,264,19,4,264,0,0,2.172413,7.014457,301,0,0"
"172.16.9.32,60046,""172.16.15.9"",7680,3,198,51,3,198,0,0,11.577988,3.0059250000000013,526,0,0"
"172.16.9.42,49315,""172.16.15.11"",7680,3,198,50,3,198,0,0,11.518704,3.0148849999999996,525,0,0"
"172.16.9.154,42717,""172.16.15.40"",7680,5,330,15,5,330,0,0,1.697595,15.044450999999999,175,0,0"
"172.16.9.181,45593,""172.16.15.139"",7680,1,66,7,1,66,0,0,1.090715,0,"""","""",0"
"172.16.12.208,16870,""172.16.15.9"",7680,5,330,14,5,330,0,0,1.608202,15.023461,175,0,0"
"172.16.15.13,53870,""172.16.15.11"",7680,3,198,49,3,198,0,0,11.050245,3.0137079999999994,525,0,0"
"172.16.15.122,57099,""20.42.65.85"",443,5,512,63,3,386,2,126,16.573844,0.0017770000000005837,"""","""",1"
"172.16.15.122,57095,""20.242.39.171"",443,48,34607,52,16,27710,32,6897,12.067924,2.8549179999999996,77648,19326,6"
"172.16.15.122,57097,""104.208.16.89"",443,22,13478,55,8,7650,14,5828,12.570937,0.7362120000000001,83128,63329,4"
"172.16.15.122,57098,""104.208.16.89"",443,25,14973,58,10,7198,15,7775,13.978991,2.0055179999999986,28712,31014,4"
"172.16.15.122,57096,""172.16.25.130"",7680,10,742,53,6,427,4,315,12.200414,0.005912999999999613,577710,426179,3"
"172.16.24.31,62935,""172.16.15.9"",7680,3,198,10,3,198,0,0,1.459642,12.012431,131,0,0"
"172.16.24.55,52770,""172.16.15.9"",7680,4,264,33,4,264,0,0,6.406145,7.022015,300,0,0"
"172.16.25.19,60069,""172.16.15.3"",7680,4,264,39,4,264,0,0,7.530376,7.026159999999999,300,0,0"
"172.16.25.19,60072,""172.16.15.3"",7680,3,198,48,3,198,0,0,10.742675,3.0125209999999996,525,0,0"
"172.16.25.55,58210,""172.16.15.3"",7680,1,66,16,1,66,0,0,1.9164210000000002,0,"""","""",0"
"172.16.25.108,50952,""172.16.15.3"",7680,4,264,2,4,264,0,0,0.07011,14.042597,150,0,0"
"172.16.25.148,63156,""172.16.15.3"",7680,1,66,34,1,66,0,0,6.408765,0,"""","""",0"
"172.16.25.209,61037,""172.16.15.3"",7680,1,66,40,1,66,0,0,7.635607,0,"""","""",0"
"172.16.25.224,54503,""172.16.15.3"",7680,2,132,27,2,132,0,0,3.486772,8.007329,131,0,0"
"172.16.25.239,52616,""172.16.15.3"",7680,4,264,31,4,264,0,0,6.123081,7.028854999999999,300,0,0"
"172.16.25.240,65168,""172.16.15.37"",7680,3,198,46,3,198,0,0,10.291646,3.019055999999999,524,0,0"
"172.16.25.247,63463,""172.16.15.9"",7680,1,66,30,1,66,0,0,5.25758,0,"""","""",0"
"172.16.26.228,61150,""172.16.15.40"",7680,2,132,59,2,132,0,0,14.444122,1.0146449999999998,1040,0,0"
"172.16.26.228,61158,""172.16.15.40"",7680,2,132,60,2,132,0,0,14.47177,1.0026419999999998,1053,0,0"
"172.16.27.202,61841,""172.16.15.145"",7680,1,66,35,1,66,0,0,6.806636,0,"""","""",0"
"172.16.38.102,64295,""172.16.15.3"",7680,3,198,3,3,198,0,0,0.179629,12.014773,131,0,0"
"172.16.38.193,51487,""172.16.15.3"",7680,3,198,13,3,198,0,0,1.593576,12.008090999999999,131,0,0"
"172.16.38.197,60677,""172.16.15.3"",7680,1,66,32,1,66,0,0,6.191032,0,"""","""",0"
"172.16.41.66,58568,""172.16.15.3"",7680,2,132,22,2,132,0,0,2.895176,8.00534,131,0,0"
"172.16.56.19,52718,""172.16.15.9"",7680,2,132,61,2,132,0,0,15.21304,1.0071499999999993,1048,0,0"
"172.16.56.26,55100,""172.16.15.3"",7680,1,66,23,1,66,0,0,3.043258,0,"""","""",0"
"172.16.75.172,54078,""172.16.15.40"",7680,4,264,24,4,264,0,0,3.110992,7.001267,301,0,0"
"172.16.75.174,54028,""172.16.15.3"",7680,3,198,56,3,198,0,0,12.966104,3.000038,527,0,0"
"172.16.75.213,62507,""172.16.15.3"",7680,1,66,12,1,66,0,0,1.5745909999999999,0,"""","""",0"
"172.16.80.28,52502,""172.16.15.3"",7680,3,198,54,3,198,0,0,12.464594,3.0161119999999997,525,0,0"
"172.16.80.152,50385,""172.16.15.3"",7680,2,132,62,2,132,0,0,15.314697,1.0019189999999991,1053,0,0"
"172.16.80.160,57284,""172.16.15.3"",7680,2,132,9,2,132,0,0,1.37843,8.001713,131,0,0"
"172.16.88.66,58209,""172.16.15.3"",7680,2,132,18,2,132,0,0,2.089781,8.012528,131,0,0"
"172.16.88.82,55321,""172.16.15.3"",7680,3,198,11,3,198,0,0,1.534106,12.003938,131,0,0"
"172.16.88.125,52531,""172.16.15.3"",7680,2,132,28,2,132,0,0,3.9524049999999997,8.003433999999999,131,0,0"
"172.16.88.147,56311,""172.16.15.3"",7680,1,66,20,1,66,0,0,2.284462,0,"""","""",0"
"172.16.88.151,64873,""172.16.15.3"",7680,3,198,57,3,198,0,0,12.997153,3.028314999999999,523,0,0"
"172.16.89.112,60258,""172.16.15.3"",7680,4,264,17,4,264,0,0,1.957681,7.031294,300,0,0"
"172.16.89.136,61448,""172.16.15.145"",7680,2,132,5,2,132,0,0,0.932809,8.009214,131,0,0"
"172.16.96.21,50204,""172.16.15.3"",7680,4,264,44,4,264,0,0,8.605672,7.022570999999999,300,0,0"
"172.16.96.107,49623,""172.16.15.3"",7680,5,330,0,5,330,0,0,0,15.037274,175,0,0"
"172.16.96.119,58513,""172.16.15.3"",7680,4,264,21,4,264,0,0,2.383512,7.031168000000001,300,0,0"
"172.16.96.156,52318,""172.16.15.3"",7680,1,66,29,1,66,0,0,4.247818,0,"""","""",0"
"172.16.96.162,53438,""172.16.15.3"",7680,1,66,38,1,66,0,0,7.297425,0,"""","""",0"
"172.16.97.104,60514,""172.16.15.3"",7680,2,132,1,2,132,0,0,0.038245,8.015645000000001,131,0,0"
"172.16.97.141,59178,""172.16.15.3"",7680,5,330,6,5,330,0,0,1.029002,15.022245,175,0,0"
"172.16.97.191,59229,""172.16.15.3"",7680,3,198,4,3,198,0,0,0.750882,12.013490999999998,131,0,0"
"172.16.97.206,61388,""172.16.15.3"",7680,1,66,42,1,66,0,0,7.959934,0,"""","""",0"
"172.16.97.207,50989,""172.16.15.3"",7680,2,132,26,2,132,0,0,3.311325,8.011989,131,0,0"
"172.16.97.216,64070,""172.16.15.3"",7680,1,66,25,1,66,0,0,3.115739,0,"""","""",0"
"172.16.97.231,51847,""172.16.15.9"",7680,1,66,41,1,66,0,0,7.820241,0,"""","""",0"
"172.16.97.232,62513,""172.16.15.3"",7680,5,330,8,5,330,0,0,1.226438,15.010831000000001,175,0,0"
"172.16.97.234,51460,""172.16.15.3"",7680,3,198,47,3,198,0,0,10.557526,3.014881000000001,525,0,0"
"172.16.97.246,52575,""172.16.15.11"",7680,4,264,45,4,264,0,0,9.016464,7.031072999999999,300,0,0"
"172.16.97.252,62900,""172.16.15.11"",7680,4,264,43,4,264,0,0,8.030336,7.020498,300,0,0"
